Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,OTG,Worthington Municipal,Worthington,MN,359.00,
2022,OTM,Ottumwa Regional,Ottumwa,IA,457.33,
2022,OXR,Oxnard,Oxnard/Ventura,CA,393.29,
2022,PEC,Pelican Seaplane Base,Pelican,AK,490.67,
2022,PFN,Bay County,Panama City,FL,405.82,
2022,PHO,Point Hope Airport,Point Hope,AK,596.13,
2022,PIP,Pilot Point Airport,Pilot Point,AK,425.00,
2022,PIZ,Point Lay LRRS,Point Lay,AK,398.50,
2022,PLB,Clinton County,Plattsburgh,NY,413.00,
2022,PMD,Palmdale USAF Plant 42,Palmdale,CA,583.36,
2022,PNC,Ponca City Regional,Ponca City,OK,357.81,
2022,POU,Hudson Valley Regional,Poughkeepsie,NY,358.08,
2022,PPV,Port Protection Airport,Port Protection,AK,512.50,
2022,PTH,Port Heiden Airport,Port Heiden,AK,469.63,
2022,RBH,Brooks Lodge Airport,Brooks Lodge,AK,290.00,
2022,RBY,Ruby Airport,Ruby,AK,594.00,
2022,RDG,Reading Regional/Carl A Spaatz Field,Reading,PA,380.28,
2022,ROP,Benjamin Taisacan Manglona International,Rota,TT,1184.10,
2022,ROR,Babelthuap,Koror,Pa,736.26,
2022,RWI,Rocky Mount-Wilson Regional,Rocky Mount,NC,376.04,
2022,SAC,Sacramento Executive,Sacramento,CA,221.00,
2022,SBS,Steamboat Springs/Bob Adams Field,Steamboat Springs,CO,446.54,
2022,SDX,Sedona Airport,Sedona,AZ,836.13,
2022,SHG,Shungnak Airport,Shungnak,AK,577.50,
2022,SHH,Shishmaref Airport,Shishmaref,AK,709.00,
2022,SHX,Shageluk Airport,Shageluk,AK,459.00,
2022,SKK,Shaktoolik Airport,Shaktoolik,AK,380.00,
2022,SLE,McNary Field,Salem,OR,184.00,
2022,SNP,St. Paul Island,St. Paul,AK,572.02,
2022,SOP,Moore County,Pinehurst/Southern Pines,NC,303.96,
2022,SPW,Spencer Municipal,Spencer,IA,379.74,
2022,SQI,Whiteside County-Jos H. Bittorf Field,Sterling/Rockfalls,IL,327.45,
2022,STG,St. George Island Airport,St. George Island,AK,712.78,
2022,STP,St. Paul Downtown Holman Field,Minneapolis/St. Paul,MN,239.65,
